Number_1,Number_2,Number_3,Number_4,Number_5,Joker
4,15,26,27,32,16
7,19,20,22,31,9
13,22,29,34,44,3
11,18,20,40,44,1
14,15,16,28,34,11
6,10,23,37,39,17
1,15,22,29,36,15
1,14,16,17,24,6
11,15,18,29,34,11
5,19,37,41,43,5
19,22,27,30,45,15
3,5,7,26,44,13
15,26,33,38,39,18
3,13,14,22,30,18
5,29,30,33,38,9
8,20,21,34,37,12
8,10,17,20,34,19
16,28,30,36,40,13
4,15,24,28,41,12
10,13,17,22,33,2
8,24,25,27,45,8
7,10,23,24,28,3
10,16,28,33,43,17
7,27,28,34,36,9
7,16,18,37,43,11
6,13,28,36,44,2
11,19,27,39,41,3
5,28,30,32,33,1
6,16,19,27,30,4
4,5,13,34,44,12
6,19,26,30,40,3
11,16,19,21,24,16
4,25,26,28,40,20
1,6,8,22,35,9
6,9,17,28,38,4
5,15,30,40,42,15
4,22,23,27,28,3
4,8,9,27,36,11
3,10,16,28,41,7
13,22,38,43,44,16
12,30,40,42,45,8
1,17,19,23,30,15
22,31,35,38,42,10
4,9,17,21,25,19
3,7,12,31,32,11
27,30,35,36,44,11
10,11,21,24,40,20
1,5,17,19,30,16
14,17,25,28,35,16
3,6,20,33,43,20
1,5,20,36,37,6
3,23,26,38,45,9
17,28,29,33,34,15
19,25,30,31,33,19
6,15,18,20,39,20
1,9,14,29,31,18
1,2,14,26,28,18
8,14,28,30,40,13
21,26,29,37,42,15
3,7,18,39,45,5
5,6,10,28,40,9
5,7,17,28,31,17
17,27,28,39,43,12
17,21,32,33,37,2
8,14,23,36,43,18
15,16,18,20,24,5
10,12,13,21,41,19
11,15,18,22,41,5
7,10,22,28,45,5
1,3,18,24,28,8
9,10,11,31,38,6
3,11,24,39,41,9
9,13,22,38,43,8
2,13,22,31,41,10
11,24,35,38,45,12
22,26,29,39,41,16
5,11,29,40,45,18
8,17,33,40,41,17
12,27,38,43,45,7
8,10,16,26,33,10
15,29,31,36,41,5
20,23,27,36,37,12
2,4,16,26,31,10
2,21,25,28,37,16
6,31,32,37,45,19
7,10,23,27,42,11
4,9,11,21,33,5
1,17,21,34,40,20
15,20,22,25,34,10
4,8,11,33,41,18
29,34,37,41,43,7
2,35,38,40,42,13
21,24,28,34,39,1
19,23,37,40,41,19
3,33,37,41,44,9
11,14,25,26,40,7
5,11,20,37,42,7
7,30,32,34,43,1
2,7,15,18,21,2
3,8,37,38,40,15
19,20,32,34,35,9
12,19,20,36,43,14
7,9,13,39,44,6
7,14,19,25,28,20
5,6,12,20,22,19
10,26,32,34,36,16
9,27,28,42,43,12
3,6,10,23,35,8
9,17,20,23,24,10
5,7,11,18,41,20
24,30,32,35,42,19
3,5,6,8,22,16
9,16,17,23,45,5
23,29,32,40,45,13
3,14,24,28,43,19
5,6,8,19,33,1
13,23,25,29,32,9
2,20,31,32,41,20
4,7,20,27,32,4
1,10,19,31,45,9
17,31,36,41,44,5
6,8,16,31,37,12
7,14,21,24,42,13
2,5,16,17,37,8
17,20,32,37,44,18
2,17,32,35,41,17
5,18,26,31,41,1
12,18,24,35,36,10
12,22,29,32,41,2
18,23,28,34,40,19
4,7,24,37,38,13
19,25,28,34,42,12
14,19,32,33,43,8
8,18,23,37,42,18
16,27,30,43,44,19
18,27,35,41,45,18
12,14,16,31,38,19
3,5,10,21,41,14
6,19,25,29,35,11
1,2,7,15,26,11
23,25,34,35,37,2
2,12,18,31,36,1
9,16,23,24,41,14
7,8,20,42,45,13
5,11,37,42,44,2
11,14,20,36,37,3
6,17,27,34,35,4
9,15,27,30,45,3
6,10,23,38,40,20
8,17,28,36,44,15
5,16,20,31,33,17
7,14,16,26,30,6
1,20,28,33,38,14
7,10,27,40,43,18
1,11,20,34,42,10
3,12,13,18,20,14
3,15,22,24,38,2
12,13,28,31,34,5
2,7,9,25,42,4
1,3,10,19,28,2
18,19,28,33,35,3
7,10,11,20,32,14
3,8,34,40,41,19
3,13,24,38,42,17
2,5,12,32,39,7
4,22,23,27,42,20
5,17,29,30,39,9
3,19,22,23,26,5
6,10,36,42,45,6
15,19,26,29,44,19
1,6,16,30,37,6
6,12,38,43,45,17
13,17,25,38,40,2
3,6,9,15,31,1
1,4,12,27,36,17
12,20,25,27,37,11
22,27,29,36,44,13
2,10,25,29,39,10
1,12,28,37,45,4
4,8,21,32,34,12
8,20,36,39,41,8
11,16,23,25,27,20
5,12,22,24,31,13
1,10,11,13,33,14
10,15,27,31,45,3
11,17,32,34,37,14
1,15,28,30,34,5
2,13,14,15,36,15
1,22,24,33,42,15
8,12,15,34,36,13
1,2,16,21,44,10
11,13,15,34,40,15
14,21,24,44,45,6
6,12,15,24,37,5
10,16,32,34,43,19
2,16,28,36,41,14
12,24,34,40,45,8
3,8,26,34,45,16
4,5,7,16,27,7
3,26,29,42,45,1
18,22,26,42,44,11
3,9,17,22,26,4
2,29,31,32,37,11
11,21,23,27,30,20
9,10,21,31,39,18
7,16,27,35,45,6
14,26,27,43,44,6
6,19,21,40,42,17
6,13,14,15,25,16
15,20,22,38,42,20
8,19,22,37,41,16
3,9,28,32,44,20
3,4,11,18,33,5
6,14,33,36,43,11
20,25,28,38,45,13
5,18,21,26,34,11
4,5,11,22,36,20
11,16,20,26,27,13
5,25,26,28,43,9
2,15,16,23,25,1
31,41,42,43,45,19
1,2,21,33,39,19
2,9,14,32,36,17
1,4,10,14,27,3
6,11,17,33,35,13
10,17,25,39,44,8
6,23,28,39,41,1
20,27,34,36,45,6
2,10,12,26,36,15
11,15,28,34,45,19
2,15,19,24,38,17
8,14,18,23,37,18
2,6,11,18,41,14
9,25,27,33,39,17
9,10,15,21,31,18
5,8,14,23,43,5
6,11,22,31,36,2
9,13,21,22,41,19
20,21,22,26,34,14
4,8,25,26,37,20
4,9,13,44,45,15
9,23,26,36,39,13
10,15,34,41,42,20
4,9,23,40,44,17
2,5,15,26,36,9
2,11,17,32,36,1
8,11,34,41,44,14
1,12,15,23,31,6
15,25,33,39,43,1
13,17,32,35,45,1
1,17,26,34,40,13
3,10,21,29,32,13
8,13,21,23,33,6
2,21,36,39,41,8
17,18,24,30,44,17
8,12,21,36,38,13
5,16,19,22,38,1
8,22,33,40,41,6
1,3,13,21,34,16
6,23,31,32,39,14
1,3,16,32,37,17
2,25,39,40,45,20
4,13,31,38,44,12
13,24,26,27,42,2
18,19,22,24,28,5
16,21,29,36,44,18
18,29,31,32,44,16
20,22,24,26,38,10
7,18,23,26,41,16
2,5,25,40,43,10
14,18,36,37,43,16
2,10,18,22,42,6
3,21,32,33,41,5
16,20,24,36,38,15
4,23,28,40,41,2
1,3,24,25,34,1
8,23,32,40,42,4
11,14,16,33,42,13
12,13,22,24,36,10
3,6,26,32,39,4
6,8,10,30,43,18
5,24,30,40,41,9
25,35,36,39,40,12
9,12,14,15,16,20
8,9,10,28,32,16
5,14,25,36,37,2
5,29,31,32,43,11
17,22,36,39,42,14
1,13,38,40,44,20
2,14,23,24,32,11
4,11,17,32,36,10
13,28,32,34,40,12
5,8,15,21,37,20
8,23,24,28,32,9
14,21,29,35,36,18
2,11,13,21,39,6
6,12,21,28,34,16
4,21,23,34,43,19
27,32,34,35,43,16
11,22,33,34,38,16
13,31,38,39,44,4
6,7,14,31,36,5
5,15,32,35,36,9
6,7,12,23,39,16
23,26,32,34,42,16
1,13,18,26,37,17
3,9,11,22,42,12
8,20,31,32,39,8
3,9,18,21,25,20
7,11,23,29,42,18
2,5,21,28,38,6
3,14,15,24,32,8
1,3,15,37,44,7
4,6,31,39,44,3
8,17,24,31,39,19
7,11,26,33,42,15
18,24,28,29,34,17
2,13,35,36,43,9
8,20,23,31,41,11
10,14,16,22,44,1
13,20,31,37,44,20
2,15,33,37,38,20
1,4,14,15,29,9
3,27,32,33,37,14
10,11,16,18,27,20
3,19,23,34,45,2
3,8,34,35,44,2
10,11,15,22,39,5
14,20,30,31,34,1
2,9,21,26,41,7
2,5,25,27,43,12
2,4,12,18,26,18
7,9,32,35,37,9
11,12,25,31,36,19
1,2,3,6,32,2
8,22,25,37,42,17
6,9,10,13,22,4
11,14,29,38,39,9
10,17,24,33,45,8
15,24,26,33,44,12
8,14,20,24,45,8
8,14,23,28,29,13
6,12,13,27,33,3
3,6,20,23,39,1
14,16,17,41,43,18
5,8,27,31,32,13
1,2,17,35,41,20
18,24,28,30,34,13
8,12,14,24,37,12
11,12,17,25,41,13
12,16,33,37,44,12
11,12,19,21,36,8
7,30,36,38,44,14
2,12,17,19,34,3
13,15,17,26,45,16
7,15,18,20,30,12
1,4,9,36,42,7
2,16,18,22,24,3
11,15,22,36,45,2
19,25,31,37,38,14
7,10,12,19,39,5
2,4,6,12,40,9
5,10,14,17,26,12
13,24,26,36,43,15
2,23,29,42,44,2
4,11,25,28,44,14
3,4,18,27,34,6
2,11,26,27,28,5
7,16,21,32,44,11
8,9,11,13,45,9
7,25,29,31,37,8
2,17,18,26,28,4
24,26,30,32,34,1
5,16,30,34,37,15
4,11,13,19,43,4
5,11,12,18,23,3
1,11,13,34,42,9
14,26,30,32,45,12
1,3,6,8,38,15
9,26,34,43,45,3
19,21,24,32,45,9
2,8,35,39,41,8
3,7,37,38,43,11
6,7,10,18,45,11
7,24,29,30,40,18
17,20,27,34,42,8
1,12,34,35,41,4
13,16,31,37,42,6
2,12,17,27,34,12
3,22,23,41,43,1
1,3,6,30,43,11
2,11,26,35,43,1
4,8,10,28,32,18
1,7,23,34,38,9
3,15,18,22,38,11
5,10,29,33,40,4
7,10,17,35,42,17
4,9,17,18,43,11
8,33,35,38,45,9
2,4,26,37,39,5
5,17,22,24,32,12
6,13,18,22,31,1
7,15,18,29,42,3
3,11,17,23,43,12
11,16,19,34,37,3
10,18,19,29,39,13
2,24,31,34,43,1
24,27,35,36,37,6
1,13,19,31,36,10
4,23,30,32,45,12
11,31,36,40,41,9
4,10,24,28,32,16
2,6,9,19,31,5
17,18,33,38,43,5
14,17,19,20,37,15
2,3,23,24,34,17
1,2,13,37,41,15
9,11,25,31,43,2
10,11,22,41,44,7
19,28,34,38,40,11
1,9,11,12,28,12
7,8,14,24,41,17
3,22,25,32,38,1
2,3,14,18,30,6
6,18,25,30,36,8
33,35,37,39,45,10
3,17,22,26,40,19
3,26,27,42,45,11
6,19,23,29,40,8
13,15,16,18,39,2
12,24,30,37,38,7
15,17,37,39,42,5
2,10,13,26,43,7
2,15,19,42,43,6
7,11,15,42,45,3
6,11,14,16,17,8
12,15,18,28,40,9
8,17,30,31,34,16
6,11,13,26,45,4
10,28,35,38,45,2
14,19,35,36,37,3
1,16,27,43,45,18
10,13,30,40,41,9
12,15,19,21,25,19
21,23,26,27,40,18
3,4,26,31,45,16
2,12,28,33,36,7
16,28,33,38,42,4
12,25,30,31,34,15
9,20,22,26,28,3
3,5,8,13,27,18
11,21,27,30,37,6
3,9,15,25,33,2
8,20,28,30,39,4
6,9,21,26,36,12
5,31,35,38,39,14
6,10,12,16,31,18
19,26,28,37,44,16
11,15,24,27,33,12
2,12,26,30,37,15
23,26,31,32,39,13
1,20,30,39,40,3
4,15,35,38,40,17
6,14,18,29,38,4
6,18,21,33,42,12
4,16,22,27,38,6
7,14,16,25,44,11
8,17,30,39,42,15
4,31,32,39,44,2
1,13,23,25,36,17
19,20,23,28,32,5
6,11,20,41,44,7
8,26,30,36,38,13
7,11,12,20,26,19
1,5,29,32,37,10
21,26,28,30,38,14
4,14,25,37,38,7
18,22,27,35,41,20
12,20,21,24,29,12
13,15,20,30,34,13
11,26,31,39,41,10
6,11,14,27,35,3
8,9,14,38,42,15
2,18,35,36,37,9
12,20,28,33,34,2
4,7,24,31,40,15
15,19,23,42,43,6
1,7,18,37,45,10
2,8,25,33,41,6
11,18,21,32,38,14
11,17,19,24,30,1
1,9,14,20,44,7
7,22,35,40,41,5
1,8,15,39,41,18
2,3,17,28,35,2
4,23,28,34,42,7
1,25,27,29,45,15
16,21,24,37,44,4
12,19,21,27,32,2
17,18,19,22,32,7
3,16,32,35,37,3
2,10,14,29,43,17
1,2,5,7,34,18
1,19,24,33,34,1
11,13,19,43,45,17
6,14,22,26,44,13
4,11,12,38,43,16
9,13,19,29,35,11
6,13,28,32,34,4
26,28,38,43,44,5
8,23,24,27,35,13
2,4,6,34,35,18
1,5,8,11,45,11
13,14,31,38,44,11
24,27,34,39,45,16
4,10,16,31,36,14
6,7,12,16,29,13
9,21,26,32,40,2
5,6,18,19,34,20
5,25,28,29,40,7
17,24,26,37,43,14
1,8,14,34,42,14
19,26,31,32,42,8
5,14,27,35,40,6
28,32,33,37,43,5
2,13,18,41,45,4
1,4,6,10,41,8
1,20,32,37,40,7
7,10,21,25,29,19
6,25,29,38,43,4
9,15,21,22,41,6
5,15,20,21,30,2
5,11,21,28,30,13
1,2,13,35,39,17
2,8,16,25,27,1
12,18,25,41,43,20
19,24,33,36,44,13
13,24,31,42,45,2
14,25,29,34,38,4
4,6,7,28,41,8
5,9,32,43,45,14
26,31,33,41,42,20
7,27,38,43,45,15
4,27,35,36,39,12
15,27,31,32,37,20
2,3,7,20,44,4
21,22,28,32,43,10
14,15,17,26,42,14
11,14,18,24,31,11
10,12,29,35,37,19
17,32,35,38,45,19
1,6,14,26,45,14
4,11,19,23,35,12
11,17,37,42,45,20
7,11,12,18,45,4
6,13,32,33,45,14
4,20,28,33,40,1
1,22,28,29,32,5
5,7,13,36,41,2
5,10,25,31,37,5
21,23,26,29,31,11
11,23,30,36,37,17
2,4,7,24,27,4
7,8,13,17,21,16
5,20,22,29,36,17
13,18,23,24,27,6
23,26,30,33,36,7
3,9,12,23,39,4
16,27,29,37,40,1
3,5,26,43,45,13
18,20,28,40,44,7
13,24,25,31,41,9
2,10,13,16,26,4
2,3,21,28,32,3
3,9,19,28,32,2
3,7,19,22,35,4
13,14,20,32,35,8
4,8,19,21,30,11
18,25,28,39,44,16
1,11,15,18,21,15
19,26,27,35,42,10
4,13,21,33,37,5
7,8,9,41,45,17
19,25,28,38,45,19
10,15,30,44,45,2
17,22,24,26,29,5
4,6,11,15,37,19
7,15,27,30,37,7
1,24,37,41,45,9
1,7,21,23,44,8
22,23,26,29,42,6
3,6,25,34,37,16
13,17,39,41,42,5
32,33,38,43,44,10
15,17,21,37,42,11
4,12,35,43,45,15
14,35,36,40,44,16
11,14,30,42,43,13
11,22,34,39,42,6
2,21,27,33,43,19
12,16,23,34,36,16
6,7,10,16,30,3
7,15,18,26,36,14
1,19,25,26,41,5
8,28,32,38,41,14
8,17,21,31,36,20
9,22,26,27,34,5
6,31,34,36,43,3
6,13,18,36,38,19
3,12,16,21,31,4
4,20,32,38,41,18
3,4,13,21,36,19
5,17,27,34,37,5
20,25,26,27,28,6
6,7,28,42,43,5
3,4,21,34,40,7
1,8,10,14,35,1
14,33,34,39,42,19
3,8,10,26,40,10
21,24,27,37,42,14
5,19,26,30,34,2
7,10,31,37,39,16
3,15,21,26,37,6
26,27,36,38,39,17
14,17,18,38,42,19
6,26,31,35,37,1
11,13,21,32,34,6
6,32,37,39,41,2
7,10,16,33,35,1
6,18,21,33,45,5
12,13,29,42,44,9
1,15,29,38,40,4
1,16,34,38,43,15
11,16,17,34,41,3
3,10,22,27,44,15
6,9,13,32,42,4
10,12,16,29,36,19
4,8,24,32,42,16
2,3,19,20,40,4
1,6,14,17,33,17
15,28,38,41,42,3
3,22,36,37,39,11
4,13,24,33,35,12
1,9,34,41,42,16
5,13,17,26,28,11
11,13,14,23,28,5
2,20,23,37,41,10
5,8,15,26,38,18
14,16,25,38,44,7
1,9,29,39,41,18
3,31,40,42,43,3
3,12,24,41,42,1
3,6,14,15,32,17
10,13,14,23,44,14
7,18,28,29,35,19
5,27,36,38,40,11
9,18,20,31,38,18
6,18,25,41,44,8
12,13,25,31,41,15
1,38,41,44,45,15
13,19,21,22,32,12
2,5,26,28,44,7
1,13,14,15,42,7
9,11,22,39,45,18
7,13,32,35,39,2
5,30,31,36,44,19
17,25,27,39,40,8
9,13,14,25,32,13
1,9,27,40,42,19
4,8,15,19,23,4
8,12,13,25,37,15
6,26,33,34,36,14
5,11,13,33,38,10
8,20,24,32,43,10
4,7,20,31,40,12
3,9,17,34,43,4
19,25,27,28,32,6
1,12,16,26,43,3
1,8,24,28,44,3
3,17,22,41,42,2
4,7,12,38,40,12
12,21,29,32,44,11
21,23,26,28,30,9
5,6,22,38,44,1
4,5,10,18,42,19
22,26,35,41,42,19
2,17,25,30,35,7
8,11,12,18,38,8
3,6,10,40,45,10
1,10,17,26,34,10
14,19,27,32,43,9
1,4,33,40,45,15
17,19,20,31,35,7
1,25,27,42,43,7
14,23,30,41,44,6
14,16,32,38,39,16
3,11,15,27,33,5
14,18,19,26,30,19
1,12,17,23,33,1
6,24,33,41,43,6
6,23,24,26,30,4
3,5,11,27,35,11
3,17,38,39,42,18
4,6,8,30,45,6
15,17,26,30,37,1
6,14,18,26,35,2
5,16,17,24,31,8
14,28,31,41,42,1
9,20,22,31,40,19
13,25,30,40,44,3
9,12,15,28,31,2
9,11,14,16,24,14
22,24,25,31,37,7
13,16,21,24,30,1
15,16,34,37,44,9
2,7,10,16,40,17
11,13,16,39,44,17
1,8,18,27,42,16
2,7,9,11,39,16
6,10,30,35,41,6
20,21,28,44,45,8
4,7,9,19,34,13
3,21,25,35,42,20
4,19,24,40,44,17
4,19,20,22,41,3
5,12,19,22,34,5
7,14,24,33,38,3
3,4,13,28,42,17
2,14,17,22,28,6
4,14,15,29,31,5
9,24,29,36,42,15
7,8,9,25,32,4
3,9,16,33,36,18
11,12,27,41,43,7
6,12,13,20,39,5
11,15,20,23,36,3
6,8,16,20,43,18
10,21,29,31,34,18
7,25,27,36,44,3
18,19,25,34,36,17
19,21,25,31,41,13
4,5,8,13,14,9
1,11,29,36,41,11
17,23,25,33,40,12
2,7,14,23,37,18
4,7,23,30,35,16
5,13,18,24,35,10
1,6,14,34,41,9
8,9,14,29,43,3
6,9,11,26,42,19
10,14,15,37,43,16
2,19,30,31,40,6
11,12,17,35,36,13
14,17,19,21,41,20
3,9,16,33,40,2
6,8,21,29,45,10
2,6,13,16,43,10
6,13,18,23,45,12
1,26,32,37,38,9
5,7,13,17,37,2
10,18,19,29,32,17
5,9,16,39,42,12
9,14,20,24,30,16
1,3,16,23,30,10
14,15,18,39,42,11
1,27,39,41,42,18
5,15,16,29,44,7
18,24,25,28,32,18
5,9,15,22,42,10
1,4,18,20,34,12
1,28,35,37,41,7
23,37,39,40,44,4
6,25,35,37,38,11
7,10,27,29,37,12
11,18,19,28,39,7
6,13,30,31,35,9
2,16,34,44,45,5
1,9,21,28,38,2
2,9,33,36,41,20
1,2,8,9,24,6
10,17,25,38,39,7
24,26,32,36,44,7
7,8,10,11,30,15
1,24,27,32,40,18
24,25,30,31,42,16
8,14,25,28,37,9
9,12,13,31,36,17
1,5,29,32,43,15
13,30,35,44,45,10
5,6,15,24,44,8
6,8,10,14,19,3
17,31,33,37,43,18
14,19,38,39,40,18
2,18,20,34,42,20
4,16,20,28,39,11
4,12,22,28,42,16
2,3,17,33,41,17
1,2,20,21,35,2
4,14,20,32,36,2
5,9,16,33,36,19
3,20,28,32,44,1
10,13,24,38,45,8
4,13,19,28,44,11
6,20,31,36,42,3
3,17,19,34,44,10
7,20,21,31,32,8
15,33,34,39,40,10
15,17,21,29,38,2
2,12,22,34,39,13
4,13,24,42,45,15
20,22,28,29,37,17
6,13,26,27,40,16
21,31,38,39,43,10
1,11,23,25,29,17
21,26,29,40,44,4
7,16,19,36,39,2
16,17,18,20,38,3
5,7,9,33,40,7
16,19,33,41,44,17
2,20,27,36,44,7
12,32,34,36,42,16
16,19,29,38,39,11
10,12,17,31,40,4
6,23,24,42,45,15
3,15,23,36,38,9
16,21,23,25,31,10
17,20,34,40,44,13
3,28,29,35,43,6
19,22,23,32,41,16
1,11,16,39,42,3
16,32,35,37,39,8
13,21,23,29,38,18
9,16,24,26,39,17
6,18,40,41,43,11
3,5,27,33,36,7
2,18,24,27,39,9
3,6,8,25,39,19
13,27,29,34,44,1
17,22,29,31,44,4
7,9,22,24,35,5
5,16,24,29,33,15
3,4,21,22,32,4
5,19,24,41,44,11
10,20,28,32,44,3
3,5,9,14,21,10
5,11,20,25,26,3
12,18,27,30,42,7
7,23,29,41,43,18
9,13,14,15,35,3
15,34,35,36,40,14
16,24,30,42,43,13
13,14,19,28,42,14
2,22,27,37,41,6
13,16,18,23,40,12
17,20,28,34,45,2
4,7,18,20,45,8
3,13,21,25,30,17
17,20,33,39,41,3
9,10,13,19,37,5
8,20,31,39,41,18
2,12,13,27,31,17
20,34,40,43,44,15
15,19,31,33,41,8
2,18,24,27,29,6
7,16,27,39,42,19
12,13,18,32,34,13
1,9,21,26,34,4
9,10,14,17,43,1
4,11,23,34,43,10
15,17,24,28,33,6
6,9,11,17,25,11
15,21,22,27,42,9
18,22,23,25,37,14
2,10,19,31,32,13
19,21,31,41,42,16
1,4,8,12,42,16
11,13,18,24,30,9
10,27,28,31,38,3
12,19,29,30,44,5
1,5,10,19,28,6
4,13,14,22,41,4
17,25,36,39,45,10
20,27,37,41,45,20
1,7,13,16,38,2
12,24,25,43,44,3
6,13,20,39,42,5
5,29,32,36,38,15
4,5,14,18,29,8
15,31,37,39,45,5
5,10,11,21,26,10
25,32,33,35,41,19
3,13,14,27,31,4
5,12,19,41,44,2
1,5,9,11,14,8
4,17,25,28,30,10
6,20,27,32,34,10
25,26,27,32,37,4
14,21,27,38,45,8
1,2,4,16,19,12
2,15,16,28,43,10
11,27,34,38,40,15
14,20,21,30,31,5
3,26,27,39,44,8
5,24,27,31,35,3
5,14,24,27,43,4
10,17,22,27,40,10
14,19,21,31,32,4
1,5,27,42,43,15
1,21,22,41,43,9
5,9,10,20,44,16
6,14,31,42,43,17
8,17,19,26,36,1
2,6,16,20,29,6
5,12,15,35,43,1
20,34,38,41,45,13
4,26,27,30,44,5
23,24,28,39,43,12
8,14,15,17,29,17
7,14,21,44,45,19
18,24,30,38,39,15
9,14,37,40,43,15
9,15,27,35,41,8
3,5,10,23,44,13
9,15,17,24,34,15
6,7,8,26,43,7
10,16,29,34,40,5
7,18,19,29,37,11
2,6,18,22,31,2
1,15,30,31,42,7
7,8,12,21,26,4
12,18,26,43,45,19
8,23,24,30,37,15
8,12,21,35,37,4
5,22,23,25,33,17
16,17,19,21,24,5
1,4,8,18,39,6
5,12,18,34,37,12
2,8,23,33,45,19
14,32,33,35,40,8
3,13,18,23,38,4
5,15,29,32,44,18
2,20,33,35,41,7
5,7,14,29,40,4
8,12,19,21,34,8
2,5,9,32,34,5
11,34,35,38,39,17
27,37,38,39,44,1
14,16,18,31,32,13
4,15,17,30,32,4
12,27,37,38,44,10
15,23,34,35,44,3
4,10,18,32,44,2
10,14,19,21,40,2
16,23,29,40,42,15
4,12,21,31,43,20
6,12,13,24,31,17
3,12,14,27,42,18
2,16,28,30,45,20
6,14,30,36,39,2
12,24,40,41,43,19
11,15,19,32,44,1
2,6,20,33,34,1
5,11,27,40,45,10
12,23,28,40,41,4
10,11,13,21,36,3
8,9,23,35,41,3
3,9,11,28,34,4
2,18,22,25,34,17
2,10,16,18,19,9
11,12,24,31,34,10
12,17,20,21,23,15
3,4,21,25,30,10
6,16,22,26,37,9
2,3,5,25,39,13
10,17,24,36,41,9
3,16,26,34,40,8
11,13,25,38,45,11
2,31,33,35,43,20
14,29,35,43,45,1
12,17,28,30,36,8
8,15,22,40,45,6
10,14,33,34,42,6
1,14,27,39,41,2
5,9,11,28,31,19
12,13,20,34,39,11
1,3,31,35,42,7
5,26,30,31,41,17
14,16,17,26,34,10
4,7,25,37,42,13
11,22,26,35,36,18
20,21,25,30,38,11
8,22,27,29,38,4
20,22,29,31,32,5
11,14,18,27,45,19
8,12,14,23,45,16
14,23,31,41,45,7
1,8,13,30,42,3
7,10,13,14,30,17
11,17,29,33,43,16
4,21,33,34,36,16
9,11,33,43,44,13
1,16,22,25,38,2
22,27,38,40,42,2
3,4,16,33,37,15
2,5,31,41,45,11
