Number_1,Number_2,Number_3,Number_4,Number_5,Number_6
2,4,5,46,48,49
4,10,12,14,44,48
11,23,24,36,38,39
7,16,18,22,23,43
20,21,30,34,35,41
1,13,14,15,24,28
5,14,20,28,42,44
9,11,26,28,29,40
2,6,30,43,45,47
13,16,18,20,29,32
8,9,14,33,35,49
16,18,36,42,46,47
5,7,17,30,34,45
8,16,18,24,37,48
2,9,22,38,41,45
17,18,19,20,24,36
14,21,31,36,42,47
3,5,7,10,15,29
15,33,35,38,42,46
10,12,14,18,23,37
1,2,9,12,37,40
14,22,26,27,35,46
3,10,13,20,39,40
3,5,16,17,23,43
9,21,25,27,28,46
12,13,21,41,42,47
1,12,18,20,26,39
8,10,13,19,43,48
1,2,4,15,16,30
8,14,24,44,45,49
2,12,25,30,34,49
2,5,9,26,35,45
26,34,36,39,40,47
7,9,22,33,36,41
18,24,34,37,40,44
14,30,32,35,36,39
2,5,13,17,20,25
11,19,23,27,36,44
6,19,34,35,36,49
3,7,14,25,26,42
1,11,25,31,32,45
4,5,9,16,20,24
5,9,29,34,35,43
4,15,18,19,39,43
4,8,13,16,17,49
16,19,24,30,37,40
6,10,20,27,36,49
6,8,10,14,16,37
7,11,16,28,32,40
21,27,28,30,44,49
1,2,5,19,21,27
11,13,33,38,39,47
10,18,30,31,35,47
1,7,12,25,31,42
4,6,12,19,28,42
2,10,29,34,44,49
2,4,7,26,38,40
1,3,9,21,44,47
3,7,20,27,40,46
13,15,26,30,33,42
9,21,25,36,43,46
9,18,27,31,32,35
8,14,18,21,25,26
3,36,43,45,47,49
4,5,7,8,29,49
14,22,24,25,32,39
1,6,25,28,42,49
9,17,21,29,33,35
9,17,22,34,45,46
20,25,27,32,36,42
26,29,30,36,41,45
4,7,23,26,28,38
4,5,13,18,29,34
4,17,24,35,38,43
5,6,13,26,32,49
15,21,24,29,41,46
18,22,25,29,33,40
4,5,10,22,30,36
11,15,17,30,31,49
7,21,33,46,47,49
11,16,22,27,41,45
7,11,18,29,36,48
7,11,35,40,41,43
2,6,19,35,43,48
2,6,18,20,22,25
9,15,27,28,39,46
6,10,17,34,35,49
14,36,37,38,39,41
4,19,29,39,43,49
5,11,13,18,20,29
7,10,16,23,38,46
1,4,10,15,21,46
4,20,31,36,37,46
1,7,19,30,32,33
13,33,44,47,48,49
14,38,45,47,48,49
2,4,9,23,30,41
13,19,23,25,26,37
1,5,6,14,24,29
7,14,21,30,35,45
33,34,38,46,47,49
2,9,12,27,30,49
5,18,21,23,42,49
2,11,17,26,31,45
7,14,21,28,43,46
15,23,33,41,44,49
1,8,19,26,40,47
2,4,5,7,22,41
9,13,19,22,36,41
6,7,18,24,31,43
1,4,10,11,13,39
3,10,15,17,19,29
7,10,27,28,31,33
8,9,23,24,25,41
13,14,21,22,38,44
5,17,30,32,37,38
6,13,22,29,42,47
7,22,23,24,25,42
9,12,13,17,21,31
3,12,23,33,43,47
2,7,17,40,41,46
8,13,30,31,48,49
3,6,12,13,14,41
7,8,19,26,33,35
2,6,14,16,17,31
6,13,19,30,31,49
5,12,30,31,33,41
4,11,13,18,41,43
1,5,28,42,47,49
10,23,26,38,46,47
16,17,26,31,38,41
13,26,33,34,42,47
6,12,25,32,35,42
7,8,11,16,34,38
14,16,28,41,46,49
12,13,16,24,35,42
2,13,27,38,41,49
3,4,6,10,13,49
1,6,21,24,31,45
1,7,12,26,38,41
2,8,20,26,43,47
6,8,15,19,26,41
12,21,24,26,43,49
11,12,29,33,38,42
5,11,13,26,36,41
8,10,16,17,20,26
6,9,25,34,39,46
13,16,30,35,42,45
1,14,20,26,33,46
8,25,28,34,38,45
4,9,13,16,38,49
1,12,27,33,37,38
2,7,13,23,24,36
5,7,14,17,38,43
12,13,29,30,42,46
1,11,24,32,34,41
24,32,34,43,45,49
7,15,16,33,36,41
1,9,15,30,32,40
3,7,21,42,46,47
14,15,26,37,38,49
1,4,5,10,13,23
3,9,12,39,41,47
5,13,16,33,36,39
10,13,19,39,41,45
5,9,13,18,21,40
3,21,22,24,29,41
6,18,19,20,33,44
2,3,6,11,17,38
4,12,14,21,24,43
5,14,40,42,43,48
10,12,27,36,39,42
13,20,25,39,45,46
23,25,27,30,40,42
2,22,29,40,42,43
11,13,18,25,46,48
3,37,38,39,41,43
6,7,23,26,37,41
5,12,14,21,32,36
1,16,17,22,35,38
12,14,17,19,21,44
1,3,14,27,34,47
2,15,20,22,27,46
29,31,34,43,46,48
6,8,9,15,20,26
8,21,24,36,39,47
3,9,16,29,33,36
18,19,22,29,37,45
4,7,29,30,36,43
8,13,34,40,43,48
1,3,5,27,39,44
6,9,21,31,32,49
7,10,32,35,40,46
6,12,27,28,40,44
2,8,20,24,30,47
2,18,39,42,43,48
6,15,19,28,30,47
10,14,26,34,45,47
22,25,30,35,42,48
4,10,12,16,18,20
1,9,10,11,41,46
5,12,17,34,46,47
5,23,24,26,31,42
10,27,34,35,39,48
3,9,18,39,40,42
8,10,20,23,30,34
5,7,18,38,40,49
6,8,9,14,44,46
20,21,28,40,42,44
4,19,21,28,30,44
3,7,9,11,36,44
7,11,13,14,17,37
9,19,25,33,37,45
2,7,29,35,36,46
1,6,22,24,25,37
4,5,11,13,17,47
10,12,26,33,37,48
4,12,26,31,39,44
4,23,30,36,47,48
1,3,27,37,40,44
3,6,21,23,25,42
6,15,25,28,38,46
12,14,16,24,30,31
8,9,20,31,35,49
1,3,12,22,23,48
3,23,30,31,32,38
4,15,31,39,46,48
1,10,11,13,14,26
3,7,12,29,38,48
5,12,30,40,47,49
1,21,28,32,40,48
4,8,21,23,24,39
2,3,4,21,28,35
15,18,28,33,35,38
3,11,12,14,16,33
9,16,29,32,37,46
6,7,9,18,23,36
7,10,28,33,35,43
6,14,24,35,37,49
3,8,15,28,37,38
15,20,21,29,32,41
1,22,25,28,30,38
2,4,5,30,39,43
5,8,10,32,44,48
5,17,22,26,28,29
13,24,29,35,41,49
8,11,29,36,41,45
4,7,11,14,26,39
8,14,20,30,35,40
4,11,26,34,40,48
7,14,19,37,46,47
10,16,22,26,27,48
6,7,9,18,44,48
8,15,16,21,26,44
3,11,14,26,30,34
6,12,24,27,32,42
6,15,19,22,44,45
1,7,23,24,33,47
5,10,12,14,28,38
15,17,18,26,42,49
1,5,7,9,22,39
8,12,13,32,34,44
10,15,22,23,33,42
6,23,31,34,43,45
3,15,16,18,40,43
7,8,20,27,38,46
1,8,17,20,32,47
4,18,41,44,45,49
3,23,32,43,47,49
8,11,16,23,29,39
4,17,23,24,27,29
5,26,31,40,45,48
10,27,30,31,40,41
1,13,16,17,30,33
3,4,7,10,17,34
3,6,9,11,17,33
2,14,23,24,28,42
5,9,11,19,20,27
11,18,19,21,22,34
28,30,34,35,39,44
2,17,26,28,33,34
22,25,26,39,41,48
7,12,17,22,31,38
6,28,32,35,39,44
1,10,26,35,44,49
3,10,17,30,31,37
11,19,33,46,48,49
2,7,14,33,40,43
14,15,34,36,44,45
2,6,16,32,35,44
8,18,28,33,34,38
4,14,31,35,39,49
9,17,24,26,28,37
6,33,39,40,42,44
2,4,6,8,14,36
4,8,13,21,29,49
12,15,20,25,35,45
9,15,24,27,33,40
2,9,12,20,22,27
15,23,27,32,33,37
6,23,37,44,48,49
9,21,22,41,42,46
12,13,20,21,33,44
2,7,25,31,40,42
4,28,35,39,40,45
7,12,15,20,21,24
3,10,11,24,27,28
6,17,29,35,44,46
6,26,35,40,46,48
1,10,16,18,19,39
2,10,19,26,46,49
9,11,17,27,30,41
1,10,19,24,25,43
1,3,13,15,22,40
9,20,24,37,38,39
3,16,27,29,41,43
13,15,38,39,41,48
2,8,20,29,36,41
5,7,8,31,38,42
3,4,8,13,15,33
1,19,31,42,43,46
1,8,11,27,33,37
4,15,26,29,39,43
9,12,14,21,24,48
3,15,21,35,40,42
4,20,37,38,43,48
10,12,20,36,39,46
12,27,31,38,39,45
2,10,26,35,40,42
2,6,18,21,25,42
1,5,6,23,32,46
7,24,25,28,40,47
3,11,12,20,32,43
20,21,31,32,36,41
7,8,20,41,42,48
12,22,29,32,33,43
16,18,20,25,32,33
5,12,29,39,41,42
5,8,11,13,18,39
10,14,16,29,33,44
2,14,17,38,39,45
21,25,35,42,43,48
9,10,13,26,37,38
4,11,18,25,30,31
2,5,9,13,19,28
7,8,19,32,35,49
11,16,26,40,43,46
19,23,24,33,38,49
1,7,13,15,34,35
10,12,24,40,41,43
7,8,19,22,25,48
6,9,15,36,37,39
7,8,14,16,27,46
1,4,8,42,43,46
1,6,27,32,38,40
21,25,34,35,40,43
7,8,15,18,34,44
3,22,26,42,43,49
2,15,32,35,38,45
7,14,37,38,39,47
6,20,26,27,32,43
11,26,37,40,43,44
9,13,17,24,27,31
3,7,21,28,34,36
4,16,17,27,36,37
7,13,14,15,22,32
13,15,18,20,29,30
5,6,15,36,41,44
8,11,16,21,25,38
2,14,18,21,41,49
11,17,24,34,37,38
3,8,15,16,34,46
2,3,14,21,43,49
6,12,14,22,31,41
3,13,24,29,32,34
10,11,24,33,43,47
2,3,10,22,41,43
11,21,25,35,37,45
3,9,11,27,33,37
4,6,18,32,43,45
1,21,28,31,33,39
1,13,19,26,31,33
4,5,9,25,27,36
12,28,31,33,40,46
3,15,21,24,43,44
1,14,16,23,37,40
6,8,20,24,28,39
2,4,6,26,29,37
11,16,23,24,29,47
4,9,20,21,27,35
9,10,15,26,36,38
4,6,11,14,19,40
1,2,6,12,39,42
3,15,17,38,47,48
7,8,17,30,46,48
2,14,22,24,43,47
15,16,30,31,34,46
20,23,29,38,46,48
12,16,25,29,35,45
9,17,19,34,40,47
13,18,31,44,45,49
1,17,24,32,37,41
13,22,30,33,37,44
1,13,37,38,39,41
5,12,14,16,42,44
15,34,38,39,41,49
2,18,23,25,31,49
6,7,20,26,35,41
3,10,13,16,27,41
9,10,12,14,30,36
3,29,30,33,48,49
1,6,14,15,21,30
17,22,26,33,43,48
18,23,31,36,37,44
12,24,30,41,44,46
2,4,19,20,31,39
1,14,29,34,43,46
11,13,24,28,31,35
1,9,17,19,26,34
3,7,17,19,29,49
7,12,24,26,27,35
15,18,22,28,42,49
13,18,19,28,32,44
9,20,26,27,40,42
1,8,24,28,41,45
2,16,17,36,37,49
9,14,22,30,40,49
1,8,9,18,30,42
2,9,13,15,34,45
1,9,15,19,26,39
13,25,28,29,32,48
4,9,11,26,40,47
2,11,14,16,25,37
5,19,25,27,42,47
3,7,8,12,28,31
14,30,37,40,41,46
6,13,35,38,39,43
22,27,35,36,40,48
26,28,33,36,38,42
11,15,26,29,41,47
2,12,22,26,37,39
11,12,15,33,41,47
11,16,23,32,39,43
4,17,19,20,26,37
3,10,13,34,42,44
6,10,24,25,35,46
7,12,13,21,46,47
16,21,36,41,42,43
7,10,21,24,32,46
4,14,25,26,45,46
3,23,25,32,38,39
18,23,26,38,39,42
1,6,13,24,25,36
15,21,23,28,39,47
3,5,23,31,35,39
1,30,32,34,44,49
2,11,12,36,37,46
6,8,24,31,32,34
1,4,16,23,31,37
2,13,14,28,39,48
10,11,23,34,44,45
3,4,15,29,36,44
12,18,32,44,46,49
12,13,14,23,27,39
3,11,32,37,45,49
18,24,27,29,35,45
2,5,30,34,40,45
18,22,28,30,35,39
3,8,9,11,41,49
24,29,35,39,43,45
8,10,13,22,29,35
13,16,23,25,30,37
2,18,22,30,35,49
6,7,11,16,26,35
13,31,39,40,41,46
2,24,25,29,30,39
26,37,38,39,44,45
6,10,14,22,44,49
3,15,17,18,24,48
4,14,27,35,37,46
3,32,33,35,36,45
7,15,19,33,41,44
16,17,18,32,45,48
13,19,23,30,44,48
7,8,22,24,38,45
2,3,4,11,13,24
9,13,23,28,37,47
6,26,27,38,43,47
8,10,18,20,30,42
3,8,28,32,33,40
6,15,27,31,32,36
2,17,28,34,37,49
7,26,28,29,36,44
4,8,9,28,35,38
7,9,12,16,26,42
20,29,30,32,35,36
2,7,13,18,46,47
2,15,18,26,30,36
6,19,21,44,45,47
8,26,36,41,42,45
6,7,13,21,24,31
5,17,21,26,28,29
7,14,16,31,32,40
1,2,6,26,45,47
2,5,7,18,20,49
4,10,15,30,35,39
2,4,10,31,44,45
15,18,28,35,37,45
10,11,15,21,23,30
2,4,5,16,37,45
10,19,23,28,47,48
26,28,32,34,41,44
4,15,18,31,39,44
2,16,17,21,26,47
2,35,36,40,41,42
8,16,21,28,32,49
2,10,11,14,25,37
5,9,16,21,43,44
2,12,25,30,36,48
5,8,10,16,44,47
4,10,14,21,23,32
22,25,26,37,39,44
1,3,4,15,25,41
6,17,27,32,36,38
8,16,24,35,36,44
4,5,6,14,39,48
5,21,36,37,38,40
12,16,21,28,30,37
11,13,24,30,36,41
4,9,14,21,29,45
13,34,37,39,40,43
4,7,23,27,39,48
14,26,30,35,43,44
2,5,6,15,25,36
12,15,18,23,33,36
3,21,30,36,43,47
1,10,15,20,25,37
1,11,18,22,29,37
1,16,20,36,37,47
3,25,29,34,46,49
2,20,21,25,43,46
3,17,27,30,31,38
3,23,27,29,34,49
4,7,9,27,28,43
14,17,18,33,39,48
12,25,35,37,41,45
10,16,20,24,31,38
2,24,25,27,34,36
3,4,16,29,31,32
2,3,18,21,35,42
12,20,25,27,28,45
4,10,15,20,40,45
3,5,9,12,22,23
3,10,11,29,30,40
2,5,13,43,44,47
8,14,22,29,33,34
14,24,25,38,45,49
11,17,27,30,31,35
9,12,14,20,31,33
2,21,24,27,39,47
2,8,29,31,40,46
7,15,19,21,48,49
9,10,18,27,29,30
1,3,14,29,34,45
10,27,29,30,42,43
4,33,37,40,42,43
6,19,30,31,36,48
8,14,22,30,40,43
18,25,26,36,41,49
4,21,26,31,42,49
14,22,32,43,44,48
6,7,16,19,20,37
1,4,7,20,32,44
4,10,11,22,35,38
3,16,18,26,41,44
1,26,30,34,39,44
2,17,18,30,32,35
1,29,33,37,44,48
1,3,7,28,44,46
4,5,32,34,43,46
8,21,22,26,27,33
6,8,12,14,15,39
2,6,17,33,36,47
6,8,9,11,17,20
5,8,13,19,32,35
1,16,17,28,31,34
7,26,31,37,39,42
5,12,26,28,34,38
9,12,24,31,32,38
7,13,14,26,37,41
1,5,7,25,36,48
5,11,17,26,29,48
4,16,33,34,40,46
12,17,32,46,47,48
6,8,32,33,41,42
4,11,15,18,31,42
6,26,27,41,42,48
7,28,32,38,40,43
6,15,21,26,34,43
11,21,22,25,27,32
15,18,21,22,26,39
6,11,19,30,32,38
9,13,20,31,37,47
3,7,14,18,27,33
4,9,29,37,43,44
7,17,32,35,40,48
11,15,19,23,28,41
3,6,17,20,25,37
1,2,8,9,23,30
2,8,13,18,41,43
2,6,14,15,16,18
6,24,28,30,32,39
5,9,11,12,38,47
2,5,9,10,29,41
1,8,9,15,19,43
5,7,31,41,45,46
4,31,33,39,44,48
1,3,5,19,22,33
5,9,12,29,35,49
2,11,19,24,34,49
3,9,10,22,24,31
1,3,4,9,38,47
17,18,20,24,30,32
4,6,7,14,20,39
13,17,35,38,43,45
1,6,18,25,28,32
3,23,24,25,33,47
3,11,13,17,27,46
13,17,22,25,28,39
16,17,26,30,41,44
4,24,29,30,37,39
2,4,17,30,34,48
1,9,13,35,39,48
25,27,31,39,43,47
13,14,34,41,44,47
1,16,21,23,38,40
2,6,28,29,37,46
5,21,22,33,40,47
2,9,12,16,41,45
7,17,23,34,35,36
1,7,19,22,36,38
6,13,22,23,27,40
21,27,31,34,38,47
1,18,21,22,33,49
3,7,8,19,27,40
4,21,23,26,27,42
4,15,20,28,31,47
6,21,22,41,45,46
20,25,34,37,47,48
1,2,17,21,27,47
4,9,28,30,41,44
16,17,28,35,36,38
1,6,7,9,12,49
2,7,12,15,27,49
22,33,37,39,42,43
3,6,8,28,42,44
10,12,19,24,27,49
1,2,3,12,15,32
2,8,9,11,19,48
15,17,26,31,43,47
12,17,18,22,24,49
1,8,13,18,36,44
8,15,22,31,39,40
1,12,21,37,44,45
20,26,28,34,42,48
4,6,12,18,25,34
8,10,22,33,41,49
1,8,9,11,28,33
13,18,38,42,43,48
15,18,24,29,37,44
4,18,19,22,33,48
14,19,29,44,45,46
33,34,36,38,41,47
7,13,15,18,38,39
8,17,18,22,46,49
8,9,15,22,36,40
11,14,17,28,29,47
1,12,13,16,33,40
14,20,27,31,34,38
15,25,29,32,41,42
16,17,27,35,40,42
3,6,19,29,30,49
13,20,31,37,39,43
5,22,37,40,46,47
1,22,25,31,33,39
6,16,17,20,44,48
7,13,19,21,29,36
18,24,34,40,45,48
7,10,17,38,41,45
2,7,12,16,24,33
6,7,23,33,37,44
1,7,28,30,43,45
7,14,18,20,48,49
3,7,16,26,39,49
16,35,38,39,40,45
7,9,20,23,24,38
2,5,30,33,38,43
6,9,37,38,41,45
7,16,19,28,30,43
1,8,14,30,37,41
7,24,32,34,47,48
1,19,21,25,28,29
1,3,13,27,31,35
4,22,25,32,37,49
10,22,34,45,46,48
3,11,15,31,46,47
12,22,29,39,45,49
2,4,16,18,22,23
6,7,12,16,37,45
10,22,29,37,39,46
3,16,25,28,32,49
9,12,13,17,19,27
5,19,28,32,34,37
9,27,28,33,44,46
11,15,19,21,32,39
16,18,30,31,34,44
5,7,15,29,37,44
2,13,16,29,38,39
2,16,27,34,36,43
3,11,16,24,29,31
13,16,28,30,32,35
4,6,19,22,30,42
17,19,23,33,38,43
5,9,25,37,45,48
8,10,11,15,36,43
2,10,20,30,32,37
9,14,23,38,41,49
1,7,8,11,13,23
6,12,13,21,29,36
10,15,28,38,43,45
1,12,23,30,34,36
21,22,27,33,39,48
21,25,27,30,37,38
3,11,24,29,31,33
25,37,39,40,42,49
6,9,13,14,29,37
3,8,14,22,42,49
2,6,9,17,23,40
7,10,12,24,40,41
13,16,20,23,33,44
7,15,23,24,47,49
1,21,27,31,44,47
3,4,16,17,23,48
3,7,9,25,31,41
6,16,18,38,39,40
13,16,19,27,35,47
15,17,23,28,44,46
1,11,15,17,28,29
1,5,12,13,22,40
1,2,24,32,40,48
3,5,7,11,15,40
9,14,24,34,41,48
15,18,21,40,42,47
4,10,14,18,25,30
3,4,10,17,24,40
7,39,43,44,45,47
13,17,18,30,42,44
4,8,21,32,35,44
12,22,27,41,48,49
11,12,21,42,43,44
8,18,21,27,32,47
3,6,18,29,33,37
2,28,29,33,40,47
7,9,12,17,37,39
1,3,6,22,43,49
1,6,10,16,17,31
3,4,25,31,42,47
5,12,28,29,40,48
19,20,39,41,44,47
1,4,14,15,44,49
10,15,26,27,34,40
5,26,27,28,37,41
7,22,30,42,46,49
5,13,28,42,43,45
4,9,11,34,41,45
4,6,8,9,19,32
1,2,6,38,43,47
1,12,15,42,43,46
2,3,23,28,34,36
1,4,6,8,15,33
4,12,14,18,35,41
5,19,23,24,25,42
4,7,27,31,37,45
21,28,35,37,40,49
5,6,7,11,18,48
4,7,18,24,25,44
3,10,13,20,45,46
5,14,19,24,38,39
8,12,20,27,32,46
2,3,7,8,29,32
19,25,29,41,46,48
12,14,27,31,33,38
18,23,26,27,33,45
5,8,13,29,34,47
1,13,21,23,37,46
11,28,35,36,38,39
1,8,13,32,33,43
6,16,20,26,31,38
7,11,14,41,43,49
2,15,19,29,40,48
10,19,26,29,30,43
8,13,21,30,36,42
3,12,22,35,38,41
6,8,22,28,42,43
1,7,10,20,23,39
2,6,7,13,20,38
6,14,31,40,44,45
6,13,14,22,27,48
1,22,32,36,40,46
3,25,29,31,37,48
6,9,12,17,21,34
20,32,33,36,45,49
1,13,15,17,32,41
7,15,20,21,26,48
7,15,24,34,35,37
2,6,9,11,28,48
11,16,17,18,22,47
6,15,16,31,34,39
11,13,18,32,35,44
6,13,20,35,36,38
10,13,16,20,34,39
4,7,20,32,38,47
2,15,16,35,44,48
12,25,33,35,45,49
14,15,31,42,45,47
6,27,29,32,43,47
7,8,20,24,37,41
12,27,29,39,40,44
2,5,9,20,27,48
4,7,19,36,41,46
5,10,11,18,25,43
13,14,18,28,42,46
5,16,17,30,41,47
2,11,16,25,32,33
6,18,28,36,42,45
6,9,13,19,24,45
19,20,22,27,34,39
8,15,18,19,43,47
15,20,26,27,47,49
3,12,14,22,39,47
5,38,39,45,46,47
4,10,21,22,34,40
22,26,27,30,35,47
2,3,11,43,45,47
18,19,24,33,34,38
3,4,21,40,44,46
4,6,7,8,9,11
6,8,11,21,23,26
6,28,33,34,36,39
3,5,8,12,20,21
3,10,16,32,34,36
1,15,22,27,34,48
3,23,25,27,30,35
4,6,22,32,40,47
1,22,23,25,26,28
6,18,22,23,39,41
6,17,22,24,28,29
2,13,22,26,28,37
